"ODYunit","SerialNo","Slope","Intercept","Rsquared"
"LC1","6435","0.332409284229011","-5.26482755881895","0.943567759620637"
"LC2","6436","0.356068793403581","-5.43198519520467","0.919115135020341"
"LC3","14733","0.253558302884478","5.82519644016765","0.947148676135612"
"LC4","6437","0.308661199569404","8.64755165338443","0.932311481324968"
"LC5","7882","0.19296683604441","11.3305013024299","0.918369922386274"
"LC6","6432","0.26905290753763","8.82017765110056","0.925319394679332"
"LC7","14732","0.233764092879845","2.71260116367022","0.951817336511674"
"LC9","6434","0.319746281694133","-5.50410476588005","0.946487261054605"
"LC10","14734","0.252342221073158","1.06425849376615","0.956042910579377"
"LC11","6431","0.344812121316592","6.45948931204449","0.940814470895367"
"LC12","6439","0.373476275595669","4.21983796024513","0.948366610767939"
"LC13","14731","0.272613806995676","-1.8081566091102","0.943979298636056"
"LC14","7881","0.184587549151379","15.1965480451028","0.822385735662441"
"LC15","6438","0.293021163490677","4.22892160703606","0.911514029418212"
"LC16","14727","0.227913748288698","3.64604031442183","0.955455015648271"
"LC17","14730","0.253406691333836","4.87433869462153","0.937597342631264"
"LC18","14729","0.244387910481467","2.02047009423735","0.952965271734505"
"LC19","14728","0.262413996952493","-0.814595244686104","0.945316218106723"
"LC20","14726","0.676343184751778","10.16350339115","0.920814993229774"
